english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Albacore / Longfin tuna,Thunnus alalunga,Albakoor,Thunnus alalunga.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,35.8 kg,GREEN,Map35.jpg,"A highly migratory, cosmopolitan, oceanic species occurring in all tropical, sub-tropical and temperate oceans, as well as the Mediterranean Sea.  Form loose schools in upper 100m of water column.  It can attain about 40kg, but catches in the 10kg range is more typical.  Identified by the long pectoral fins that reach beyond the second dorsal fin.  Feeds on fish such as anchovies, as well as squid and crab larvae.  When caught, they should be bled immediately to ensure the best quality eating.  Occurs from Mozambique to Namibia",Salt,From East London to Namibia
Atlantic bonito,Sarda sarda,Atlantiese bonito,Sarda sarda.jpg,Fork length,10,No limit,Open all year,56 cm,0 cm,0 cm,0 cm,0 cm,4.1 kg,NOT LISTED,Map18.jpg,"A schooling species that may enter estuaries.  They are also known to be cannibalistic.  Adults prey on small schooling fish, invertebrates like squid and shrimps and can swallow relatively large prey.  Able to adapt to wide temperature ranges from 12 to 27 degrees.  Have been reported to be ciguatoxic.  Occurs from Mozambique to False Bay",Salt,From East London to Namibia
Baardman,Umbrina robinsoni,Baardman / Belman,Umbrina robinsoni.jpg,Total length,5,40 cm,Open all year,85 cm,82 cm,58 cm,65 cm,52 cm,8.7 kg,RED,Map18.jpg,"Baardman can grow to about 10kg, but usually catches are much smaller.  Body colour varies from silver to blackish depending on its surroundings.  It has a noticeable tassel under the chin which distinguishes it from similar species such as kob.  It is a coastal species that inhabits shallow rocky and sandy areas.  Baardman often swims in shoals, coming close to shore at dawn and dusk.  Often caught from sandy beaches in calm water close to shore.  Feeds on shrimps, worms, sealice and other bottom-dwelling invertebrates.  It is usually targeted with bait such as bloodworms, prawns and sea lice.  Flesh is excellent.  Occurs from Mozambique to False Bay",Salt,From Mozambique to False Bay
Banded catshark,Halaelurus lineatus,Band-kathaai,Halaelurus lineatus.jpg,Total length,1,No limit,Open all year,54 cm,54 cm,0 cm,48 cm,38 cm,Not listed,ORANGE,Map24.jpg,"A catshark with an upturned knob on the snout, a narrow head, and numerous small dark spots on the body.  Pale brown with numerous pairs of narrow, vertical, dark brown stripes outlining obscure dusky saddles and cream below.  Found on the continental shelf and uppermost slope, on soft bottoms, from close inshore to about 300m.  Feeds on small crustaceans, bony fish, and cephalopods.  Often confused with the Tiger catshark.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to False Bay
Banded galjoen,Dichistius multifasciatus,Band-galjoen,Dichistius multifasciatus.jpg,Fork length,5,No limit,Open all year,44 cm,43 cm,29.5 cm,33 cm,26 cm,Not listed,RED,Map11.jpg,"Found in coastal waters and rivers.  Feeds on variety of small invertebrates including red bait, barnacles, periwinkles and mussels.  Grows to about 2kg.  The flesh is of excellent quality and a popular light-tackle angling species.  Occurs from Kosi Bay to Mossel Bay",Salt,From Mozambique to Namibia
Barred needlefish,Ablennes hians,Balk-naaldvis,Ablennes hians.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,3.1 kg,NOT LISTED,Map22.jpg,Generally dark bluish above and silvery white below.  Variable number of elongate black blotches on the middle of the body.  Attains a maximum length of about 90cm.  Often found near islands.  Also found in estuaries and coastal rivers.  Sometimes forms large schools and feeds mainly on small fish.  Sometimes targeted with the help of artificial lights at night.  Occurs from Mozambique to Port Elizabeth,Salt,From Mozambique to Saldanha Bay
Barred rubberlip,Plectorhinchus plagiodesmus,Balk-rubberlip,Plectorhinchus plagiodesmus.jpg,Fork length,10,No limit,Open all year,52 cm,0 cm,52 cm,0 cm,0 cm,Not listed,NOT LISTED,Map24.jpg,"Body with 12 oblique alternating black bars, specimens up to 40 cm have orange bars present between black bars.  These orange bars fade in larger specimens.  Lips orange or yellow in colour.  Occur in coastal, generally turbid reefs.  Adults in coral crevices with protruding lips looking like an orange sponge.  Frequently in pairs.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Port Elizabeth
Bartailed flathead,Platycephalus indicus,Balkstert-platkop,Platycephalus indicus.jpg,Total length,10,No limit,Open all year,70 cm,67 cm,0 cm,69 cm,55 cm,1.7 kg,NOT LISTED,Map20.jpg,"A widespread species recorded from the Indo-West Pacific, Red Sea, East Africa to the Phillipines.  Found on sandy and muddy bottoms of coastal waters.  Frequently found in estuaries and juveniles have been taken in freshwater.  It is harvested as a food fish across its distribution range.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Port Elizabeth
Big mouth yellowfish,Labeobarbus kimberleyensis,Grootbek geelvis,Labeobarbus kimberleyensis.jpg,Fork length,No limit,No limit,Open all year,52 kg,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Mozambique to Knysna
Bigeye kingfish,Caranx sexfasciatus,Grootoog-koningvis,Caranx sexfasciatus.jpg,Fork length,5,No limit,Open all year,79 cm,79 cm,0 cm,38 cm,30 cm,5.6 kg,RED,Map19.jpg,"Bigeye kingfish can grow to almost 10kg, although usual catches are much smaller.  It is a reef-associated species with juveniles occurring in estuaries.  Associated with coral reefs and found in coastal and oceanic waters to depths of 150m.  The dorsal and anal fins have conspicuous white tips with a distinct black spot on the gill plates.  Adults are iridescent blue-green above.  Feeds mainly on fish and crustaceans.  The most abundant of the kingfish species in southern Africa.  A popular gamefish that can be targeted with lures and live bait.  It often feeds at night.  Occurs from Mozambique to Knysna",Salt,From Mozambique to Namibia
Bigeye stumpnose,Rhabdosargus thorpei,Grootoog-stompneus,Rhabdosargus thorpei.jpg,Fork length,10,No limit,Open all year,30 cm,30 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,"Bright yellow on the ventral part of the body including the pelvic and anal fins.  Shoals congregate in rivers and many enter estuaries.  Attains a maximum length of about 40cm.  Feeds on worms, crustaceans and particularly molluscs.  It is a popular angling fish and the flesh is excellent.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Namibia
Bigeye thresher,Alopias superciliosus,Grootoog-sambokhaai,Alopias superciliosus.jpg,Pre-caudal length,1,No limit,Open all year,130 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map33.jpg,"Occurs in coastal waters over continental shelves, sometimes close inshore in shallow waters, and on the high seas far from land.  Feeds on pelagic fish, small billfish, bottom fish and squids.  Stuns its prey with its long tail fin.  Occurs from Mozambique to False Bay",Salt,From East London to Namibia
Bigeye tuna,Thunnus obesus,Grootoog-tuna,Thunnus obesus.jpg,Fork length,10,53 cm,Open all year,96 cm,0 cm,0 cm,0 cm,0 cm,149.5 kg,NOT LISTED,Map35.jpg,"Found worldwide in tropical and subtropical seas, but absent from the Mediterranean Sea.  Frequently confused with yellowfin tuna, but differs in having a heavier, thicker body and a shorter 2nd dorsal and anal fin.  In South Africa know primarily from long-line catches off the Cape.  Feed on a wide variety of fish species, cephalopods and crustaceans during the day and at night.  Occurs from Mozambique to Namibia",Salt,From East London to Namibia
Bigspot rockcod,Epinephelus macrospilos,Grootkol-klipkabeljou,Epinephelus macrospilos.jpg,Total length,5 and maximum of 5 species per day.,No limit,Open all year,50 cm,50 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"A relatively common rockcod species identified by numerous close-set, dark brown spots with pale interspaces on the head and body.  Found in lagoon and seaward reefs to depths of at least 45m.  Feeds on crustaceans (mainly crabs), fish, octopus and squid.  Occurs from Mozambique to Durban",Salt,From Durban to Namibia
Biscuit skate,Raja straeleni,Beskuit-rog,Raja straeleni.jpg,Disc width,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map7.jpg,"Adults brown to grey dorsally and covered with black spots forming whorls and blotches.  Attains a disc width of about 70cm.  Not a common species.  Often has dark-edged eye spots.  Feeds on bony fish, crustaceans and squid.  Occurs from East London to Namibia",Salt,From Durban to Namibia
Black marlin,Makaira indica,Swart marlyn,Makaira indica.jpg,Lower bill fork leng,5,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,354.2 kg,ORANGE,Map33.jpg,"Black marlin can weigh in excess of 500kg, but are usually between 100 and 200kg.  It is an oceanic species, usually found in surface waters above the thermocline, often close to land masses, islands and coral reefs.  It is the most abundant of the marlin species in southern African waters.  It is also the only marlin species with non-retractable fins.  Highly migratory species.  Feed on fish, squids, cuttlefish, octopods, large crustaceans but mostly on small tunas.  Black marlin are usually targeted using Kona type skirted lures.  They can also be targeted using live or dead fish bait.   The flesh is edible and can be smoked, grilled or eaten as sashimi.  Occurs from Mozambique to False Bay",Salt,From Mozambique to Port Edward
